pit_ks_stat,pit_ks_pvalue,pit_cvm_stat,pit_cvm_pvalue,pit_ad_stat,pit_ad_critvals,pit_ad_siglevels,pit_lb_stat_lag5,pit_lb_pvalue_lag5,pit_lb_stat_lag10,pit_lb_pvalue_lag10,pit_lb_stat_lag20,pit_lb_pvalue_lag20,pit_lb_input,crps_mean,empirical_coverage,window_start,window_end,window_len,window_step,window_mode
0.188,3.2861094253825244e-08,2.636381333333333,4.3395241977606247e-07,0.9864386354167891,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",918.9260309302522,2.1325756328630737e-196,1427.5489591315425,1.1172547796528162e-300,1849.3059274786744,0.0,z=Phi^{-1}(u),895.321863842594,1.0,9750,10000,250,250,non_overlapping
0.22599999999999998,1.0574852054710953e-11,5.426061333333335,2.3659152414978735e-10,1.0378209797315776,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1020.8457924442621,1.8436879073428732e-218,1650.6369472045787,0.0,2225.6970883923523,0.0,z=Phi^{-1}(u),1069.4702813794565,0.996,10000,10250,250,250,non_overlapping
0.184,7.011396336604566e-08,2.7065853333333334,3.010484387333534e-07,0.7827240170253731,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",1021.3670742361372,1.421753869823914e-218,1807.192611658202,0.0,2966.0510671138723,0.0,z=Phi^{-1}(u),871.0765271219998,1.0,10250,10500,250,250,non_overlapping
0.508,2.5419436185051723e-60,23.072657333333336,9.005003076545393e-09,2.4125488726591016,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",853.4067290504219,3.222271031478271e-182,1336.4778156893872,5.1244710624516783e-281,1593.6130582056862,0.0,z=Phi^{-1}(u),1176.3577152028404,1.0,10500,10750,250,250,non_overlapping
0.384,1.1343219354101425e-33,11.374421333333332,4.1626713187525866e-10,2.158503599554507,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",958.7018414903939,5.2389309205638175e-205,1682.3802421037676,0.0,3041.670740383714,0.0,z=Phi^{-1}(u),868.7846176619508,1.0,10750,11000,250,250,non_overlapping
0.26,2.136700911197207e-15,6.484129333333334,4.1167957931520505e-11,0.5837092921453859,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",842.1163712064431,8.936688854870268e-180,1182.0555172879344,1.0692278428762593e-247,1441.575480552543,1.3546105614780853e-293,z=Phi^{-1}(u),725.8370957059216,1.0,11000,11250,250,250,non_overlapping
0.4660000000000001,2.897997362003393e-50,18.191877333333334,2.6306283817945086e-09,0.6968635942035917,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",886.0023647046204,2.8475531793652142e-189,1289.003055929749,9.034974893271974e-271,1412.7304702951742,2.07270737796098e-287,z=Phi^{-1}(u),1056.1522748158975,1.0,11250,11500,250,250,non_overlapping
0.45999999999999996,6.441397852094994e-49,18.744361333333334,4.2977337244565206e-09,1.0807101376607875,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",849.5082821935783,2.247622522631652e-181,1288.0673062122444,1.438344192343073e-270,1621.5025263102955,0.0,z=Phi^{-1}(u),1158.8308064878502,0.996,11500,11750,250,250,non_overlapping
0.42999999999999994,1.665188895112162e-42,13.404717333333336,2.5285784577278037e-10,0.5146707466544171,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",529.7444676621398,3.0257010488991724e-112,712.6901970995415,1.1842696653267773e-146,835.9880890534065,3.2187753566770075e-164,z=Phi^{-1}(u),790.1569883144512,1.0,11750,12000,250,250,non_overlapping
0.30399999999999994,5.340517055476638e-21,9.097605333333334,3.2764169155541367e-10,0.33627373891843604,"[0.559, 0.629, 0.75, 0.87, 1.032]","[15.0, 10.0, 5.0, 2.5, 1.0]",680.1801149110888,9.471821083854995e-145,902.5738800174018,1.7784019383673276e-187,954.3180800926608,2.132648475725814e-189,z=Phi^{-1}(u),677.9050198575273,1.0,12000,12250,250,250,non_overlapping
